"Current_Player","Historical_Player","Historical_Year","Distance","Similarity_Score"
"Donte DiVincenzo","Jason Richardson",2011,0.586082328240638,92.9
"Jalen Green","Bradley Beal",2016,0.586394646105974,92.73
"Tim Hardaway Jr.","Gerald Green",2015,0.586790494639545,92.65
"Deni Avdija","Mike Dunleavy",2004,0.586831855024005,92.69
"Armoni Brooks","Oleksiy Pecherov",2008,0.588378823882028,92.59
"Jett Howard","Richie Frahm",2006,0.589446862467708,92.44
"Pat Spencer","Jason Hart",2009,0.590906665490525,92.5
"Tyler Herro","Rex Chapman",1996,0.591068940963243,92.81
"Mark Williams","Kenneth Faried",2012,0.592246291386079,92.89
"Miles Bridges","Jason Richardson",2007,0.592493385213452,92.7
"Keyontae Johnson","Quincy Lewis",2004,0.592767119690387,92.53
"Ty Jerome","Kurt Nimphius",1987,0.592967624166772,92.37
"Robert Williams","Nerlens Noel",2017,0.593676438475259,92.79
"Max Strus","Dan Majerle",1999,0.595812109651529,92.52
"Seth Lundy","Quincy Acy",2017,0.596754684477934,92.65
"Javonte Smart","Matt Fish",1997,0.597296340225352,92.46
"Collin Sexton","Isaiah Thomas",2013,0.598800051826982,92.77
"Tari Eason","Rondae Hollis-Jefferson",2016,0.600499400912866,92.57
"Dwight Powell","Alan Henderson",2007,0.600528355227785,92.61
"Justin Jackson","Jeremy Richardson",2007,0.601617533317858,92.25
"Jaden McDaniels","Aaron McKie",1996,0.601790695041755,92.34
"Delon Wright","Corey Brewer",2017,0.601868163781482,92.44
"Malik Beasley","Mirza Teletovic",2014,0.602816620683937,92.43
"Jonas Valančiūnas","Pau Gasol",2017,0.603340700373006,92.72
"Neemias Queta","Aaron Williams",1997,0.603601438671567,92.66
"Terry Rozier","Larry Hughes",2009,0.604141951660401,92.48
"Patty Mills","Lloyd Daniels",1995,0.606189595189551,92.2
"Emoni Bates","Dennis Scott",1999,0.606682448408315,92.35
"Chris Paul","John Lucas",1988,0.607007930025966,92.54
"Keita Bates-Diop","Raul Neto",2017,0.607651705039557,92.37
